	but672FWD_MM	but1031REV_MM	but672FWD_Melt	but1031REV_Melt	organism	definition	function
ACFX02000051	0	1	59.62720762092795	65.73790869873073	Clostridium sp. M62.1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACGC01000120	3	3	49.483612366932334	54.154280408701084	Anaerococcus tetradius ATCC 35098,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACIE02000004	2	2	48.43200060541676	51.66818707946868	Fusobacterium varium ATCC 27725,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
ACJM01000020	4	2	55.17645855827294	58.162012413896264	Dethiobacter alkaliphilus AHT 1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ACJY01000103	2	4	48.80131882027513	51.61254521688727	Fusobacterium periodonticum ATCC 33693,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACLR01000088	2	2	53.50459948714018	62.89517932149033	Porphyromonas uenonis 60.3,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACLR01000220	1	3	60.71870797040026	58.43562417722086	Porphyromonas uenonis 60.3,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACON01000001	3	3	55.320635779652605	60.460524232954185	Eubacterium saphenum ATCC 49989,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACSC01000002	1	3	52.561323060908364	52.27776164842271	Clostridium botulinum E1 str. 'BoNT E Beluga',definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACUO01000007.31	2	3	52.92585779471568	51.61254521688727	Fusobacterium sp. 11.3.2,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ACVN01000017	1	4	58.63906952910344	57.0902650302242	Propionibacterium sp. oral taxon 191 str. F0233,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACVN01000031	1	3	55.05166028108408	52.2777616484226	Propionibacterium sp. oral taxon 191 str. F0233,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACWB01000093	1	3	61.99653806757328	62.05787815029407	Anaerostipes sp. 3.2.56FAA,definition=acetyl.CoA hydrolase.transferase domain.containing protein	acetyl.CoA hydrolase.transferase domain.containing protein	unknown
ACWK01000011	3	4	53.277192446119045	64.74429793615832	Clostridium sp. 7.3.54FAA,definition=hypothetical protein	hypothetical protein	unknown
ACWK01000021	1	2	61.52008624715239	63.02669494983826	Clostridium sp. 7.3.54FAA,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACWK01000033	7	1	67.0095308975832	60.87295010554607	Clostridium sp. 7.3.54FAA,definition=hypothetical protein	hypothetical protein	unknown
ACXU01000005	3	5	51.53737208197117	51.94263521244511	Anaerococcus vaginalis ATCC 51170,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACYH01000041	0	1	61.60374385497681	60.87989977608191	Treponema vincentii ATCC 35580,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ADBS01000002	5	5	48.65489877811103	52.41289367221282	Photobacterium damselae subsp. damselae CIP 102761,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADDB01000007	1	4	53.97486509251007	57.86315234768557	Fusobacterium nucleatum subsp. polymorphum F0401,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADDO01000043	0	1	54.48598228409452	53.708277639054074	Peptoniphilus lacrimalis 315.B,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ADDX02000001	0	1	67.13538887603465	65.42440750281378	Ruminococcaceae bacterium D16,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ADDX02000001.3	6	2	67.2604095032192	63.57718110772993	Ruminococcaceae bacterium D16,definition=hypothetical protein	hypothetical protein	unknown
ADEE02000002	2	3	52.92585779471568	51.61254521688727	Fusobacterium nucleatum subsp. animalis 21.1A,definition=hypothetical protein	hypothetical protein	unknown
ADFP01000051	0	1	65.5668130056502	60.25043116709662	Pyramidobacter piscolens W5455,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ADGP01000005	3	2	58.17904683769035	59.897373008836496	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADGP01000009	1	0	64.0396735646595	60.319377097792824	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADGP01000009.47	1	1	59.15218172114362	63.03739534912057	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADLD01000013	3	5	57.30146695333855	60.59909401574748	Alistipes indistinctus YIT 12060,definition=hypothetical protein	hypothetical protein	unknown
ADLQ01000022	1	2	61.52008624715239	63.02669494983826	Clostridium symbiosum WAL.14163,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADLQ01000077	0	0	64.83809286363163	61.15513994766195	Clostridium symbiosum WAL.14163,definition=butyryl.CoA transferase	butyryl.CoA transferase	unknown
ADLQ01000093	7	1	67.0095308975832	60.87295010554607	Clostridium symbiosum WAL.14163,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADLR01000066	1	2	61.52008624715239	63.02669494983826	Clostridium symbiosum WAL.14673,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ADLR01000070	3	4	56.14639714597655	64.74429793615832	Clostridium symbiosum WAL.14673,definition=hypothetical protein	hypothetical protein	unknown
ADLR01000129	7	1	67.0095308975832	60.87295010554607	Clostridium symbiosum WAL.14673,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ADLZ01000027	2	2	50.34517539402623	52.77109233332112	Fusobacterium necrophorum subsp. funduliforme 1.1.36S,definition=hypothetical protein	hypothetical protein	unknown
ADVG01000004	3	5	62.61308899601613	55.252254539642195	Ktedonobacter racemifer DSM 44963,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADVK01000010	2	4	55.31531759709003	55.04289885276802	Fusobacterium nucleatum subsp. nucleatum ATCC 23726,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADXD01000009	2	2	48.42462341213195	56.533792483651325	Thermoanaerobacter wiegelii Rt8.B1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AE000782	2	2	58.9548355444814	57.17895719966276	Archaeoglobus fulgidus DSM 4304,definition=4.hydroxybutyrate CoA transferase (cat2.2)	4.hydroxybutyrate CoA transferase (cat2.2)	unknown
AE000782.77	2	4	62.887568164050265	62.94360466231876	Archaeoglobus fulgidus DSM 4304,definition=4.hydroxybutyrate CoA transferase (cat2.1)	4.hydroxybutyrate CoA transferase (cat2.1)	unknown
AE006470	3	4	61.013684692068296	59.20092131395529	Chlorobium tepidum TLS,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AE017220	5	6	61.74839681970059	57.775871336800265	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC.B67,definition=putative acetyl.CoA hydrolase	putative acetyl.CoA hydrolase	unknown
AE017245	3	4	54.132307819636424	54.18177489260796	Mycoplasma synoviae 53,definition=putative coenzyme A transferase	putative coenzyme A transferase	unknown
AEAA01000141	0	1	54.48598228409452	53.708277639054074	Peptoniphilus sp. oral taxon 836 str. F0141,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AECS01000021	0	1	58.134524464888955	56.919033914427644	Megasphaera micronuciformis F0359,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AECS01000021.60	3	2	60.056424563245116	61.16126987036586	Megasphaera micronuciformis F0359,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AECU01000083	0	1	64.36519756455641	62.69577104750516	Faecalibacterium cf. prausnitzii KLE1255,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEEH01000012	0	1	58.055308993768506	57.19050497492077	Peptoniphilus duerdenii ATCC BAA.1640,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEES01000026	1	3	55.98443636690956	55.546463112935214	Eubacterium yurii subsp. margaretiae ATCC 43715,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEES01000064	3	3	52.411459921236485	48.92125096510301	Eubacterium yurii subsp. margaretiae ATCC 43715,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AEIG01000056	4	5	54.6992916323473	58.69951657786697	gamma proteobacterium IMCC3088,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENN01000018	5	8	55.634867236300124	54.20387558898426	Eremococcus coleocola ACS.139.V.Col8,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AENO01000010	1	4	57.29510769693576	58.43562417722086	Porphyromonas asaccharolytica PR426713P.I,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENO01000056	1	2	62.03430661571525	60.46052423295413	Porphyromonas asaccharolytica PR426713P.I,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENP01000008	0	1	54.98213055357928	52.98062230021179	Peptoniphilus harei ACS.146.V.Sch2b,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEQN01000030	0	2	64.56360020118382	63.61140444725788	Pseudoramibacter alactolyticus ATCC 23263,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEVP01000019	6	5	58.16142712242055	57.567069327401555	Desulfotomaculum nigrificans DSM 574,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AEXM01000008	1	3	54.09235782827375	56.66093950791952	Anaerococcus prevotii ACS.065.V.Col13,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEXN01000015	3	5	52.561323060908364	54.154280408701084	Anaerococcus hydrogenalis ACS.025.V.Sch4,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEYS01000003	2	2	51.04113409983313	59.09419021995075	Thermoanaerobacter ethanolicus JW 200,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AFCR01001234	5	6	61.74839681970059	57.775871336800265	Salmonella enterica subsp. enterica serovar Mississippi str. A4.633,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFCT01001810	5	6	61.74839681970059	57.775871336800265	Salmonella enterica subsp. enterica serovar Rubislaw str. A4.653,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFCX01001549	5	6	61.74839681970059	57.775871336800265	Salmonella enterica subsp. enterica serovar Wandsworth str. A4.580,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFGF01000026	2	3	58.13008590634104	61.83846764144022	Acetonema longum DSM 6540,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AFHP02000048	2	4	55.42209104889571	54.88908829464714	Capnocytophaga sp. oral taxon 329 str. F0087,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFIJ01000023	1	1	59.15218172114362	63.03739534912057	Megasphaera sp. UPII 199.6,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AFMF02000037	3	5	56.20057367087321	50.618989885827034	Leptospira interrogans serovar Zanoni str. LT2156,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFNU01000006	1	3	49.97965706523928	52.60920367338889	Haloplasma contractile SSD.17B,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AFOZ01000017	3	5	57.701817968858336	55.01486655122426	Shewanella sp. HN.41,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFPO01000020	3	5	55.01385847653705	55.718945473292536	Idiomarina sp. A28L,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AFQD01000458	2	3	52.92585779471568	51.61254521688727	Fusobacterium nucleatum subsp. animalis ATCC 51191,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AFUG01000018	4	2	48.231652280342246	51.36013708052707	Megasphaera sp. UPII 135.E,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFUG01000030	2	2	55.67000181504062	55.69454470267431	Megasphaera sp. UPII 135.E,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFUG01000038	1	2	50.525075168109595	55.17611597644873	Megasphaera sp. UPII 135.E,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AFXZ01000012	4	3	50.87757488727618	53.43819669948084	Bizionia argentinensis JUB59,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFZG01000052	1	3	49.85659920203858	54.754197576960166	Eubacteriaceae bacterium CM5,definition=hypothetical protein	hypothetical protein	unknown
AFZX01000008	6	4	61.403490057707245	60.3885523372947	Desulfitobacterium hafniense DP7,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFZX01000118	0	0	59.933259928570465	61.15513994766201	Desulfitobacterium hafniense DP7,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AFZX01000137	1	1	56.40710877019802	62.10183762807088	Desulfitobacterium hafniense DP7,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AGAF01000174	0	2	59.15218172114362	58.3253973546486	Desulfosporosinus sp. OT,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGBB01000193	3	4	50.844264062541754	52.52792370198938	Peptoniphilus indolicus ATCC 29427,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGBB01000208	1	2	52.97391731291373	53.656860120379065	Peptoniphilus indolicus ATCC 29427,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AGCJ01000073	0	0	61.60374385497681	57.86526795244532	Anaeroglobus geminatus F0357,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGCK01000019	2	5	59.695331538379776	64.72188276536906	Flavonifractor plautii ATCC 29863,definition=putative 4.hydroxybutyrate coenzyme A transferase	putative 4.hydroxybutyrate coenzyme A transferase	unknown
AGCK01000028	4	2	60.79469598738825	63.0266949498382	Flavonifractor plautii ATCC 29863,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGCK01000251	1	2	64.56360020118376	65.42440750281378	Flavonifractor plautii ATCC 29863,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGEC02000012	5	4	51.61301799051637	47.99382967525986	Myroides odoratimimus CCUG 10230,definition=hypothetical protein	hypothetical protein	unknown
AGED01000025	5	4	51.61301799051637	47.99382967525986	Myroides odoratimimus CCUG 12901,definition=hypothetical protein	hypothetical protein	unknown
AGEE01000005	4	3	52.14168754513605	54.05340482774727	Myroides odoratimimus CIP 101113,definition=hypothetical protein	hypothetical protein	unknown
AGEH01000006	2	3	52.92585779471568	51.61254521688727	Fusobacterium nucleatum subsp. animalis OT 420,definition=hypothetical protein	hypothetical protein	unknown
AGEL01000006	0	1	67.11081138919411	64.15576684798123	Lachnospiraceae bacterium ACC2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AGEL01000013	7	4	67.66419024985663	61.005199419641656	Lachnospiraceae bacterium ACC2,definition=hypothetical protein	hypothetical protein	unknown
AGEX01000003	3	4	59.99351461562594	63.34944137936037	Shewanella baltica OS625,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGFM01000017	4	6	61.38294839955478	60.90254965890563	Novosphingobium pentaromativorans US6.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGFP01000006	2	6	57.01427019878639	53.06951672091344	Mycoplasma iowae 695,definition=putative coenzyme A transferase	putative coenzyme A transferase	unknown
AGFR01000007	4	2	48.44910723621763	54.825840057230494	Commensalibacter intestini A911,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGJA01000009	0	3	59.023965612679945	54.52291324621723	Desulfosporosinus meridiei DSM 13257,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000001	2	4	53.60648123542393	53.01239722529641	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000003	0	0	60.417315918854285	53.12879793492016	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000013	0	1	55.38788649394189	54.58141829231289	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000015	2	2	55.10651951823519	64.88081750690486	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJD01000010	2	6	55.27156904045893	49.68479298004894	Bacillus sp. 1NLA3E,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGJE01000004	6	3	58.22856199790323	60.938624305569476	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJE01000010	2	1	52.78384923068484	62.99711891703504	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJE01000033	0	2	57.45878190015742	54.921037540806026	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000002	0	1	58.53676634189998	63.92771609585583	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000006	2	5	52.62968956404768	54.44760356558572	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000012	6	3	59.576003416888284	59.06643292089291	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000018	0	3	57.63191649121774	53.12879793492016	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000008	4	3	64.02683950991099	63.234982864924916	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000008.28	1	4	64.84107060132658	68.28476040912989	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000034	5	3	63.79910060995553	65.57984284788938	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000002	3	8	56.13324304047086	58.40921379526628	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000006	1	1	57.567230273750795	55.32637511486081	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000017	2	5	56.902835524938666	60.25009286200776	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
