	BCoATscrF_MM	BCoATscrR_MM	BCoATscrF_Melt	BCoATscrR_Melt	organism	definition	function
ADLR01000070	17	13	66.51421294845039	55.70968590518078	Clostridium symbiosum WAL.14673,definition=hypothetical protein	hypothetical protein	unknown
ADLR01000129	12	11	58.01506765758438	63.23071630357339	Clostridium symbiosum WAL.14673,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ADLZ01000027	18	12	50.74349703248106	59.18761038017146	Fusobacterium necrophorum subsp. funduliforme 1.1.36S,definition=hypothetical protein	hypothetical protein	unknown
ADVG01000004	17	12	64.0645701326622	58.33134741447088	Ktedonobacter racemifer DSM 44963,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADVK01000010	14	10	52.48020033939554	47.67185771834306	Fusobacterium nucleatum subsp. nucleatum ATCC 23726,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADXD01000009	16	11	56.60885904188632	54.156831756747295	Thermoanaerobacter wiegelii Rt8.B1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AE000782	14	13	61.93789271948992	61.549420572375254	Archaeoglobus fulgidus DSM 4304,definition=4.hydroxybutyrate CoA transferase (cat2.2)	4.hydroxybutyrate CoA transferase (cat2.2)	unknown
AE000782.77	15	14	69.81146796464276	61.6775943994341	Archaeoglobus fulgidus DSM 4304,definition=4.hydroxybutyrate CoA transferase (cat2.1)	4.hydroxybutyrate CoA transferase (cat2.1)	unknown
AE006470	16	12	65.34882728276773	61.88540344683463	Chlorobium tepidum TLS,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AE017220	16	13	52.8151088062566	55.005491513331776	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC.B67,definition=putative acetyl.CoA hydrolase	putative acetyl.CoA hydrolase	unknown
AE017245	15	11	53.33347402888177	55.54866940888593	Mycoplasma synoviae 53,definition=putative coenzyme A transferase	putative coenzyme A transferase	unknown
AEAA01000141	12	10	53.87849230861059	51.6080916842032	Peptoniphilus sp. oral taxon 836 str. F0141,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AECS01000021	14	10	63.19918337145498	62.60948484942213	Megasphaera micronuciformis F0359,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AECS01000021.60	13	10	61.09823495718689	51.36885195745333	Megasphaera micronuciformis F0359,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AECU01000083	4	3	64.91632563251102	63.871248742209104	Faecalibacterium cf. prausnitzii KLE1255,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEEH01000012	10	9	61.94336406069624	50.69890055623017	Peptoniphilus duerdenii ATCC BAA.1640,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEES01000026	4	9	62.92419230705036	50.76494388181527	Eubacterium yurii subsp. margaretiae ATCC 43715,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEES01000064	13	9	57.64137837436988	54.80983904497384	Eubacterium yurii subsp. margaretiae ATCC 43715,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AEIG01000056	17	15	68.25854376154541	60.866929392880365	gamma proteobacterium IMCC3088,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENN01000018	12	13	53.822477804245125	52.7984229280454	Eremococcus coleocola ACS.139.V.Col8,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AENO01000010	15	15	63.04144672413025	61.72412694243974	Porphyromonas asaccharolytica PR426713P.I,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENO01000056	17	13	64.56767718069068	63.0297069644829	Porphyromonas asaccharolytica PR426713P.I,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENP01000008	10	7	62.30259377373983	53.71903669871358	Peptoniphilus harei ACS.146.V.Sch2b,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEQN01000030	7	8	60.299205985600565	65.64697885012293	Pseudoramibacter alactolyticus ATCC 23263,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEVP01000019	16	12	59.913622737549076	55.24441531408388	Desulfotomaculum nigrificans DSM 574,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AEXM01000008	10	9	58.9554179674339	58.093640468049614	Anaerococcus prevotii ACS.065.V.Col13,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEXN01000015	11	6	55.726800325761985	51.5575929140856	Anaerococcus hydrogenalis ACS.025.V.Sch4,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEYS01000003	16	11	56.60885904188632	52.63825676137901	Thermoanaerobacter ethanolicus JW 200,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AFCR01001234	16	13	52.8151088062566	55.005491513331776	Salmonella enterica subsp. enterica serovar Mississippi str. A4.633,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFCT01001810	16	13	52.8151088062566	55.005491513331776	Salmonella enterica subsp. enterica serovar Rubislaw str. A4.653,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFCX01001549	16	13	52.8151088062566	55.005491513331776	Salmonella enterica subsp. enterica serovar Wandsworth str. A4.580,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFGF01000026	17	10	63.947439589839405	68.77487134001376	Acetonema longum DSM 6540,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AFHP02000048	15	11	56.80152704384329	55.56449974332509	Capnocytophaga sp. oral taxon 329 str. F0087,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFIJ01000023	13	11	63.419292474304314	62.20647235286896	Megasphaera sp. UPII 199.6,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AFMF02000037	15	13	52.067439219210996	59.110727013570624	Leptospira interrogans serovar Zanoni str. LT2156,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFNU01000006	17	8	56.901682431262145	54.71127654289762	Haloplasma contractile SSD.17B,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AFOZ01000017	18	16	63.09346365095951	55.4912357105739	Shewanella sp. HN.41,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFPO01000020	19	13	64.41178432084791	51.416991058983285	Idiomarina sp. A28L,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AFQD01000458	14	10	54.19098088639214	46.2889192114568	Fusobacterium nucleatum subsp. animalis ATCC 51191,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AFUG01000018	12	12	58.148956864773425	50.64459358882408	Megasphaera sp. UPII 135.E,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFUG01000030	15	9	60.55173183275781	58.167874076792145	Megasphaera sp. UPII 135.E,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFUG01000038	12	11	56.12962846632587	48.00411927151032	Megasphaera sp. UPII 135.E,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AFXZ01000012	15	13	56.5845515298771	48.658387385881895	Bizionia argentinensis JUB59,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFZG01000052	4	8	59.86445990211888	56.346619873257055	Eubacteriaceae bacterium CM5,definition=hypothetical protein	hypothetical protein	unknown
AFZX01000008	14	12	59.175942172316866	59.743744397392845	Desulfitobacterium hafniense DP7,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFZX01000118	9	7	59.48608035898576	60.28085737103339	Desulfitobacterium hafniense DP7,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AFZX01000137	6	10	63.210816557021985	60.17276448161198	Desulfitobacterium hafniense DP7,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AGAF01000174	3	5	58.587537965979664	61.743655402561046	Desulfosporosinus sp. OT,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGBB01000193	15	9	54.75875427851332	47.167763972552166	Peptoniphilus indolicus ATCC 29427,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGBB01000208	10	3	59.99563519505824	59.645689043473396	Peptoniphilus indolicus ATCC 29427,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AGCJ01000073	14	12	59.523292998006355	58.07457811131371	Anaeroglobus geminatus F0357,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGCK01000019	15	12	65.3986592846046	60.77273268735445	Flavonifractor plautii ATCC 29863,definition=putative 4.hydroxybutyrate coenzyme A transferase	putative 4.hydroxybutyrate coenzyme A transferase	unknown
AGCK01000028	20	14	60.12529570027209	71.06818427263124	Flavonifractor plautii ATCC 29863,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGCK01000251	14	9	67.02519915497015	72.22158265070874	Flavonifractor plautii ATCC 29863,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGEC02000012	14	12	57.57375016615907	50.06550608274472	Myroides odoratimimus CCUG 10230,definition=hypothetical protein	hypothetical protein	unknown
AGED01000025	13	12	55.80758718235154	50.06550608274472	Myroides odoratimimus CCUG 12901,definition=hypothetical protein	hypothetical protein	unknown
AGEE01000005	14	9	54.801985150680025	53.9713478397116	Myroides odoratimimus CIP 101113,definition=hypothetical protein	hypothetical protein	unknown
AGEH01000006	14	10	52.48020033939554	49.55289066431965	Fusobacterium nucleatum subsp. animalis OT 420,definition=hypothetical protein	hypothetical protein	unknown
AGEL01000006	5	8	69.38898913790229	63.13696208779248	Lachnospiraceae bacterium ACC2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AGEL01000013	16	13	64.40653653430843	60.7073096288953	Lachnospiraceae bacterium ACC2,definition=hypothetical protein	hypothetical protein	unknown
AGEX01000003	19	15	63.01715240706119	54.89065905755132	Shewanella baltica OS625,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGFM01000017	16	13	70.95274190402813	71.59246785134326	Novosphingobium pentaromativorans US6.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGFP01000006	18	14	51.00241361240961	46.7938118429621	Mycoplasma iowae 695,definition=putative coenzyme A transferase	putative coenzyme A transferase	unknown
AGFR01000007	11	12	54.650487967613174	52.56337004779289	Commensalibacter intestini A911,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGJA01000009	4	5	60.08102571162112	59.95931367648632	Desulfosporosinus meridiei DSM 13257,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000001	13	9	61.916343347752445	58.70231055605154	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000003	8	8	55.98125612516958	60.17271725388798	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000013	8	10	53.79517928209151	58.46023983849415	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000015	7	12	63.927362358155506	54.36132083322673	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJD01000010	15	11	51.751518805285855	52.62205193066592	Bacillus sp. 1NLA3E,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGJE01000004	12	12	56.96933776951448	55.76166986441069	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJE01000010	7	9	64.00587814165846	56.50449466750092	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJE01000033	7	7	55.19858371412164	62.386102302713766	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000002	4	6	62.25002845845796	59.63154324960675	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000006	12	13	62.305856114047344	53.33344940086755	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000012	14	9	54.973757469091424	58.879761793651426	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000018	3	8	60.905883504135886	57.785425206284	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000008	13	12	66.42418737839324	61.69440248210907	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000008.28	12	14	66.59926232908117	63.56106899268724	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000034	12	11	69.15610396477746	64.25615206166515	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000002	18	13	55.40782148809075	59.95379431275131	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000006	8	6	56.28113561627407	55.427445720128446	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000017	17	11	64.96453839567505	61.422903484538324	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
