	vitalF1_MM	vitalR1_MM	vitalF1_Melt	vitalR1_Melt	organism	definition	function
ACDH02000029	2	1	50.820287023553306	49.29280172542792	Fusobacterium ulcerans ATCC 49185,definition=hypothetical protein	hypothetical protein	unknown
ACDS02000074	2	2	45.608104408840234	42.61524588430865	Fusobacterium nucleatum subsp. animalis D11,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACEP01000025	0	1	48.9312350931084	45.95877591595371	Eubacterium hallii DSM 3353,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACET02000023	3	2	44.85500196769664	41.15933897445876	Fusobacterium gonidiaformans ATCC 25563,definition=hypothetical protein	hypothetical protein	unknown
ACFX02000016	5	0	54.87908847789441	54.69679185293302	Clostridium sp. M62.1,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ACFX02000051	1	0	50.95791230211336	56.751557499375735	Clostridium sp. M62.1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACGC01000120	3	3	39.03985652577319	44.53439800062682	Anaerococcus tetradius ATCC 35098,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACIE02000004	2	2	40.400769148995096	43.24056541997663	Fusobacterium varium ATCC 27725,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
ACJM01000020	3	1	48.93123509310834	56.45832334381112	Dethiobacter alkaliphilus AHT 1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ACJY01000103	2	2	40.70804469147305	42.61524588430865	Fusobacterium periodonticum ATCC 33693,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACLR01000088	0	1	47.71675079788548	49.640030514765556	Porphyromonas uenonis 60.3,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACLR01000220	0	0	54.65090010586249	53.10550860128188	Porphyromonas uenonis 60.3,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACON01000001	2	1	50.176561981850455	49.640030514765556	Eubacterium saphenum ATCC 49989,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACSC01000002	2	4	44.71006735458377	46.910318574665155	Clostridium botulinum E1 str. 'BoNT E Beluga',definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACUO01000007.31	2	2	45.608104408840234	42.61524588430865	Fusobacterium sp. 11.3.2,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ACVN01000017	0	1	51.74864170112602	52.1928900550206	Propionibacterium sp. oral taxon 191 str. F0233,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACVN01000031	1	2	46.96952849802699	45.07969382981139	Propionibacterium sp. oral taxon 191 str. F0233,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACWB01000093	0	2	52.92338988544168	50.06417179011413	Anaerostipes sp. 3.2.56FAA,definition=acetyl.CoA hydrolase.transferase domain.containing protein	acetyl.CoA hydrolase.transferase domain.containing protein	unknown
ACWK01000011	2	4	47.85472539609367	56.99789777287276	Clostridium sp. 7.3.54FAA,definition=hypothetical protein	hypothetical protein	unknown
ACWK01000021	0	0	55.59936512546443	54.241922764498895	Clostridium sp. 7.3.54FAA,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACWK01000033	5	1	61.39669857539536	51.73128461227742	Clostridium sp. 7.3.54FAA,definition=hypothetical protein	hypothetical protein	unknown
ACXU01000005	3	4	41.19437503593218	42.33868451927128	Anaerococcus vaginalis ATCC 51170,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACYH01000041	0	1	54.507580101373605	51.2481897652703	Treponema vincentii ATCC 35580,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ADBS01000002	3	1	41.29753033189701	48.679758699947286	Photobacterium damselae subsp. damselae CIP 102761,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADDB01000007	2	1	45.608104408840234	46.5833623582414	Fusobacterium nucleatum subsp. polymorphum F0401,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADDO01000043	1	1	44.02724318333043	47.56968768221708	Peptoniphilus lacrimalis 315.B,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ADDX02000001	0	0	58.11846786667206	56.751557499375735	Ruminococcaceae bacterium D16,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ADDX02000001.3	5	0	55.22145937111378	56.751557499375735	Ruminococcaceae bacterium D16,definition=hypothetical protein	hypothetical protein	unknown
ADEE02000002	2	2	45.608104408840234	42.61524588430865	Fusobacterium nucleatum subsp. animalis 21.1A,definition=hypothetical protein	hypothetical protein	unknown
ADFP01000051	0	3	56.07405886174894	48.676988461665246	Pyramidobacter piscolens W5455,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ADGP01000005	4	0	49.700149972947145	51.02928727756955	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADGP01000009	1	0	54.984566393411285	51.01711679016495	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADGP01000009.47	3	0	50.46650244159031	54.69679185293302	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADLD01000013	1	1	48.67156119429603	53.78917227399984	Alistipes indistinctus YIT 12060,definition=hypothetical protein	hypothetical protein	unknown
ADLQ01000022	0	0	55.59936512546443	54.241922764498895	Clostridium symbiosum WAL.14163,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADLQ01000077	0	1	56.07405886174894	47.569687682217136	Clostridium symbiosum WAL.14163,definition=butyryl.CoA transferase	butyryl.CoA transferase	unknown
ADLQ01000093	5	1	61.39669857539536	51.73128461227742	Clostridium symbiosum WAL.14163,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADLR01000066	0	0	55.59936512546443	54.241922764498895	Clostridium symbiosum WAL.14673,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ADLR01000070	2	4	51.7374048890419	56.99789777287276	Clostridium symbiosum WAL.14673,definition=hypothetical protein	hypothetical protein	unknown
ADLR01000129	5	1	61.39669857539536	51.73128461227742	Clostridium symbiosum WAL.14673,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ADLZ01000027	3	1	41.397931911705996	44.69128987642466	Fusobacterium necrophorum subsp. funduliforme 1.1.36S,definition=hypothetical protein	hypothetical protein	unknown
ADVG01000004	3	1	50.90820346415177	45.462494771449826	Ktedonobacter racemifer DSM 44963,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADVK01000010	1	1	48.14205242147966	48.679758699947286	Fusobacterium nucleatum subsp. nucleatum ATCC 23726,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADXD01000009	4	4	39.74159908468863	51.42856871046007	Thermoanaerobacter wiegelii Rt8.B1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AE000782	1	2	50.042263560534366	50.557292707443935	Archaeoglobus fulgidus DSM 4304,definition=4.hydroxybutyrate CoA transferase (cat2.2)	4.hydroxybutyrate CoA transferase (cat2.2)	unknown
AE000782.77	1	0	53.422116576802296	52.84558276674488	Archaeoglobus fulgidus DSM 4304,definition=4.hydroxybutyrate CoA transferase (cat2.1)	4.hydroxybutyrate CoA transferase (cat2.1)	unknown
AE006470	1	0	53.62276539949977	53.59946092316119	Chlorobium tepidum TLS,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AE017220	3	1	57.37890699395723	45.8241404412168	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC.B67,definition=putative acetyl.CoA hydrolase	putative acetyl.CoA hydrolase	unknown
AE017245	3	2	44.67384486405126	45.852091036011586	Mycoplasma synoviae 53,definition=putative coenzyme A transferase	putative coenzyme A transferase	unknown
AEAA01000141	1	1	44.02724318333043	45.49278619137533	Peptoniphilus sp. oral taxon 836 str. F0141,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AECS01000021	1	2	49.80363386496748	47.118342540631204	Megasphaera micronuciformis F0359,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AECS01000021.60	2	1	52.88725573633087	52.60966308056254	Megasphaera micronuciformis F0359,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AECU01000083	0	0	58.11846786667206	53.56778589396305	Faecalibacterium cf. prausnitzii KLE1255,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEEH01000012	2	1	45.678449777804815	47.56968768221708	Peptoniphilus duerdenii ATCC BAA.1640,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEES01000026	3	0	46.803379339794276	50.1397824573088	Eubacterium yurii subsp. margaretiae ATCC 43715,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEES01000064	3	1	44.211447708275045	47.54089304316307	Eubacterium yurii subsp. margaretiae ATCC 43715,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AEIG01000056	4	1	44.576165833245284	56.45832334381106	gamma proteobacterium IMCC3088,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENN01000018	3	6	50.21111931383382	49.342618974509605	Eremococcus coleocola ACS.139.V.Col8,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AENO01000010	0	1	50.003569210817545	49.64003051476544	Porphyromonas asaccharolytica PR426713P.I,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENO01000056	0	1	55.13247453175285	51.01711679016495	Porphyromonas asaccharolytica PR426713P.I,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENP01000008	2	1	44.71006735458377	41.9171323750125	Peptoniphilus harei ACS.146.V.Sch2b,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEQN01000030	2	0	54.54252527321853	54.69679185293302	Pseudoramibacter alactolyticus ATCC 23263,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEVP01000019	6	3	43.55595779103646	45.226551419240934	Desulfotomaculum nigrificans DSM 574,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AEXM01000008	2	4	42.92565335305102	47.329821569972694	Anaerococcus prevotii ACS.065.V.Col13,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEXN01000015	3	4	42.62855762341064	44.45507553425648	Anaerococcus hydrogenalis ACS.025.V.Sch4,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEYS01000003	4	4	43.2446925208767	51.42856871046007	Thermoanaerobacter ethanolicus JW 200,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AFCR01001234	3	1	57.37890699395723	45.8241404412168	Salmonella enterica subsp. enterica serovar Mississippi str. A4.633,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFCT01001810	3	1	57.37890699395723	45.8241404412168	Salmonella enterica subsp. enterica serovar Rubislaw str. A4.653,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFCX01001549	3	1	57.37890699395723	45.8241404412168	Salmonella enterica subsp. enterica serovar Wandsworth str. A4.580,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFGF01000026	2	0	53.285536294757435	54.241922764498895	Acetonema longum DSM 6540,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AFHP02000048	2	1	48.50260592587426	43.40768567787643	Capnocytophaga sp. oral taxon 329 str. F0087,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFIJ01000023	3	0	50.46650244159031	54.69679185293302	Megasphaera sp. UPII 199.6,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AFMF02000037	3	1	47.21205298026308	42.56205384698069	Leptospira interrogans serovar Zanoni str. LT2156,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFNU01000006	3	4	41.19437503593218	49.180264467548625	Haloplasma contractile SSD.17B,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AFOZ01000017	2	0	49.07430830362125	44.77117009364332	Shewanella sp. HN.41,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFPO01000020	3	0	47.63001249646504	46.5612293724804	Idiomarina sp. A28L,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AFQD01000458	2	2	45.608104408840234	42.61524588430865	Fusobacterium nucleatum subsp. animalis ATCC 51191,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AFUG01000018	5	2	36.23326146234331	45.226551419240934	Megasphaera sp. UPII 135.E,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFUG01000030	2	1	46.25210834334547	48.95218447560774	Megasphaera sp. UPII 135.E,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFUG01000038	1	1	42.60242172824212	39.79087392694544	Megasphaera sp. UPII 135.E,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AFXZ01000012	4	0	44.49034091662821	48.94853477655505	Bizionia argentinensis JUB59,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFZG01000052	3	2	38.26986583193445	45.226551419240934	Eubacteriaceae bacterium CM5,definition=hypothetical protein	hypothetical protein	unknown
AFZX01000008	4	0	54.07594813568886	50.06946082464401	Desulfitobacterium hafniense DP7,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFZX01000118	0	0	52.08299161800829	51.02928727756955	Desulfitobacterium hafniense DP7,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AFZX01000137	3	0	47.5366092042741	45.2878743906669	Desulfitobacterium hafniense DP7,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AGAF01000174	3	1	50.46650244159031	48.679758699947286	Desulfosporosinus sp. OT,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGBB01000193	4	2	42.61524588430859	44.69128987642466	Peptoniphilus indolicus ATCC 29427,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGBB01000208	2	2	42.60242172824212	44.727919388827104	Peptoniphilus indolicus ATCC 29427,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AGCJ01000073	0	1	54.507580101373605	51.49258153451183	Anaeroglobus geminatus F0357,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGCK01000019	2	6	51.078361019187014	50.0993174674328	Flavonifractor plautii ATCC 29863,definition=putative 4.hydroxybutyrate coenzyme A transferase	putative 4.hydroxybutyrate coenzyme A transferase	unknown
AGCK01000028	1	2	54.736947329214445	54.384103904035726	Flavonifractor plautii ATCC 29863,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGCK01000251	1	0	56.40287016134096	56.3133312987614	Flavonifractor plautii ATCC 29863,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGEC02000012	4	1	44.34019877474634	44.023817224047264	Myroides odoratimimus CCUG 10230,definition=hypothetical protein	hypothetical protein	unknown
AGED01000025	4	1	44.34019877474634	46.156545394846944	Myroides odoratimimus CCUG 12901,definition=hypothetical protein	hypothetical protein	unknown
AGEE01000005	3	1	45.768310203165925	48.95218447560774	Myroides odoratimimus CIP 101113,definition=hypothetical protein	hypothetical protein	unknown
AGEH01000006	2	2	45.608104408840234	42.61524588430865	Fusobacterium nucleatum subsp. animalis OT 420,definition=hypothetical protein	hypothetical protein	unknown
AGEL01000006	0	1	58.22965000706881	56.88827587688104	Lachnospiraceae bacterium ACC2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AGEL01000013	4	0	60.10774055033056	50.39602252829138	Lachnospiraceae bacterium ACC2,definition=hypothetical protein	hypothetical protein	unknown
AGEX01000003	2	0	52.29298937486527	51.524217487153635	Shewanella baltica OS625,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGFM01000017	4	1	50.15114460695236	53.55031500106685	Novosphingobium pentaromativorans US6.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGFP01000006	2	2	47.496268241557914	45.852091036011586	Mycoplasma iowae 695,definition=putative coenzyme A transferase	putative coenzyme A transferase	unknown
AGFR01000007	2	1	41.94079427784965	45.1591274667515	Commensalibacter intestini A911,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGJA01000009	2	0	50.21700184555442	49.56331852589142	Desulfosporosinus meridiei DSM 13257,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000001	3	1	46.43968570216276	45.462494771449826	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000003	0	1	52.797614130013244	49.21409784484706	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000013	0	2	45.87500980630887	45.03387912321216	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000015	3	1	44.70397533642455	50.96081976900018	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJD01000010	3	1	49.11436815403704	46.11861872201109	Bacillus sp. 1NLA3E,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGJE01000004	5	0	49.70220272552308	48.94853477655511	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJE01000010	4	0	42.61524588430859	47.42993043957074	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJE01000033	2	2	48.17698866107355	50.31619323748714	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000002	1	0	47.51079138646088	52.141437835244915	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000006	3	2	46.54015160448313	46.811983277870524	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000012	5	1	53.90357234055216	45.49278619137533	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000018	2	1	48.754490674377735	49.44058809118866	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000008	4	2	57.62316184918876	57.585723079829165	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000008.28	0	2	58.22965000706881	57.52456947099881	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000034	5	2	56.47627168818974	56.45832334381106	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000002	3	2	46.41724129519923	47.10053338580104	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000006	1	1	49.29213370636313	52.60966308056254	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000017	2	2	48.055342530973576	48.040022837782715	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
