	vitalF3_MM	vitalR3_MM	vitalF3_Melt	vitalR3_Melt	organism	definition	function
ABXA01000049	3	3	42.684888776341666	44.45507553425648	Anaerococcus hydrogenalis DSM 7454,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ABXP02000035	3	7	39.53779579761391	48.47369358273187	Caldanaerobacter subterraneus subsp. pacificus DSM 12653,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
ABYO01000189	3	5	38.99287118641081	54.922331319088926	Anaerococcus lactolyticus ATCC 51172,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ABZV01000003	3	3	32.292299170948866	39.02137441284964	Capnocytophaga sputigena ATCC 33612,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ACDB02000006	2	2	43.05352358702817	47.329821569972694	Fusobacterium mortiferum ATCC 9817,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACDC03000011	2	3	40.14868276501659	42.61524588430865	Fusobacterium periodonticum 2.1.31,definition=hypothetical protein	hypothetical protein	unknown
ACDE02000013	2	3	40.32966578120869	42.61524588430865	Fusobacterium nucleatum subsp. vincentii 4.1.13,definition=hypothetical protein	hypothetical protein	unknown
ACDE02000019	2	3	43.640174639612724	42.61524588430865	Fusobacterium nucleatum subsp. vincentii 4.1.13,definition=hypothetical protein	hypothetical protein	unknown
ACDH02000029	2	4	40.05271987045944	49.29280172542792	Fusobacterium ulcerans ATCC 49185,definition=hypothetical protein	hypothetical protein	unknown
ACDS02000074	2	3	41.117635274873635	42.61524588430865	Fusobacterium nucleatum subsp. animalis D11,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACEP01000025	1	2	45.773065697167	45.95877591595371	Eubacterium hallii DSM 3353,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACET02000023	2	3	41.05822437437706	41.15933897445876	Fusobacterium gonidiaformans ATCC 25563,definition=hypothetical protein	hypothetical protein	unknown
ACFX02000016	4	4	53.79696205431043	54.69679185293302	Clostridium sp. M62.1,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ACFX02000051	1	3	45.72841672555484	56.751557499375735	Clostridium sp. M62.1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACGC01000120	4	2	39.684161207929435	44.53439800062682	Anaerococcus tetradius ATCC 35098,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACIE02000004	2	3	35.85788741965854	43.24056541997663	Fusobacterium varium ATCC 27725,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
ACJM01000020	3	3	44.97737046645045	56.45832334381112	Dethiobacter alkaliphilus AHT 1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ACJY01000103	1	3	38.79755313491074	42.61524588430865	Fusobacterium periodonticum ATCC 33693,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACLR01000088	1	1	40.650791360077335	49.640030514765556	Porphyromonas uenonis 60.3,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACLR01000220	1	2	49.62441982689825	53.10550860128188	Porphyromonas uenonis 60.3,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACON01000001	2	1	41.86958541052849	49.640030514765556	Eubacterium saphenum ATCC 49989,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACSC01000002	2	4	40.46671261408795	46.910318574665155	Clostridium botulinum E1 str. 'BoNT E Beluga',definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACUO01000007.31	2	3	41.117635274873635	42.61524588430865	Fusobacterium sp. 11.3.2,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ACVN01000017	1	4	43.791241723659084	52.1928900550206	Propionibacterium sp. oral taxon 191 str. F0233,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACVN01000031	1	2	41.746671956554565	45.07969382981139	Propionibacterium sp. oral taxon 191 str. F0233,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACWB01000093	2	3	51.33191669743951	50.06417179011413	Anaerostipes sp. 3.2.56FAA,definition=acetyl.CoA hydrolase.transferase domain.containing protein	acetyl.CoA hydrolase.transferase domain.containing protein	unknown
ACWK01000011	3	6	36.44595505051467	56.99789777287276	Clostridium sp. 7.3.54FAA,definition=hypothetical protein	hypothetical protein	unknown
ACWK01000021	1	4	50.5521749082605	54.241922764498895	Clostridium sp. 7.3.54FAA,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACWK01000033	4	3	55.66602862883519	51.73128461227742	Clostridium sp. 7.3.54FAA,definition=hypothetical protein	hypothetical protein	unknown
ACXU01000005	3	4	42.684888776341666	42.33868451927128	Anaerococcus vaginalis ATCC 51170,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACYH01000041	0	2	48.69028851014281	51.2481897652703	Treponema vincentii ATCC 35580,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ADBS01000002	4	2	37.34927757510894	48.679758699947286	Photobacterium damselae subsp. damselae CIP 102761,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADDB01000007	1	3	42.47835482933277	46.5833623582414	Fusobacterium nucleatum subsp. polymorphum F0401,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADDO01000043	1	1	43.26041231982026	47.56968768221708	Peptoniphilus lacrimalis 315.B,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ADDX02000001	1	3	56.697086027106195	56.751557499375735	Ruminococcaceae bacterium D16,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ADDX02000001.3	4	3	58.940013811142364	56.751557499375735	Ruminococcaceae bacterium D16,definition=hypothetical protein	hypothetical protein	unknown
ADEE02000002	2	3	41.117635274873635	42.61524588430865	Fusobacterium nucleatum subsp. animalis 21.1A,definition=hypothetical protein	hypothetical protein	unknown
ADFP01000051	1	4	56.697086027106195	48.676988461665246	Pyramidobacter piscolens W5455,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ADGP01000005	4	3	48.6552037199703	51.02928727756955	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADGP01000009	1	1	52.38336093378177	51.01711679016495	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADGP01000009.47	2	4	50.078791441748706	54.69679185293302	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADLD01000013	2	3	45.77306569716694	53.78917227399984	Alistipes indistinctus YIT 12060,definition=hypothetical protein	hypothetical protein	unknown
ADLQ01000022	1	4	50.5521749082605	54.241922764498895	Clostridium symbiosum WAL.14163,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADLQ01000077	1	0	55.55906452111992	47.569687682217136	Clostridium symbiosum WAL.14163,definition=butyryl.CoA transferase	butyryl.CoA transferase	unknown
ADLQ01000093	4	3	55.66602862883519	51.73128461227742	Clostridium symbiosum WAL.14163,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADLR01000066	1	4	50.5521749082605	54.241922764498895	Clostridium symbiosum WAL.14673,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ADLR01000070	3	6	40.69072494245887	56.99789777287276	Clostridium symbiosum WAL.14673,definition=hypothetical protein	hypothetical protein	unknown
ADLR01000129	4	3	55.66602862883519	51.73128461227742	Clostridium symbiosum WAL.14673,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ADLZ01000027	2	4	41.05822437437706	44.69128987642466	Fusobacterium necrophorum subsp. funduliforme 1.1.36S,definition=hypothetical protein	hypothetical protein	unknown
ADVG01000004	4	1	54.794675386603615	45.462494771449826	Ktedonobacter racemifer DSM 44963,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADVK01000010	2	2	41.84119163227689	48.679758699947286	Fusobacterium nucleatum subsp. nucleatum ATCC 23726,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADXD01000009	3	5	38.18238098600125	51.42856871046007	Thermoanaerobacter wiegelii Rt8.B1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AE000782	2	3	47.453044681662846	50.557292707443935	Archaeoglobus fulgidus DSM 4304,definition=4.hydroxybutyrate CoA transferase (cat2.2)	4.hydroxybutyrate CoA transferase (cat2.2)	unknown
AE000782.77	1	3	53.17796662990355	52.84558276674488	Archaeoglobus fulgidus DSM 4304,definition=4.hydroxybutyrate CoA transferase (cat2.1)	4.hydroxybutyrate CoA transferase (cat2.1)	unknown
AE006470	2	3	51.28633359954239	53.59946092316119	Chlorobium tepidum TLS,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AE017220	5	4	52.164525739748626	45.8241404412168	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC.B67,definition=putative acetyl.CoA hydrolase	putative acetyl.CoA hydrolase	unknown
AE017245	2	4	42.684888776341666	45.852091036011586	Mycoplasma synoviae 53,definition=putative coenzyme A transferase	putative coenzyme A transferase	unknown
AEAA01000141	1	2	43.26041231982026	45.49278619137533	Peptoniphilus sp. oral taxon 836 str. F0141,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AECS01000021	0	3	46.248700425842856	47.118342540631204	Megasphaera micronuciformis F0359,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AECS01000021.60	3	3	52.82652861619067	52.60966308056254	Megasphaera micronuciformis F0359,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AECU01000083	0	2	52.72791339050116	53.56778589396305	Faecalibacterium cf. prausnitzii KLE1255,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEEH01000012	1	1	49.895756185013624	47.56968768221708	Peptoniphilus duerdenii ATCC BAA.1640,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEES01000026	1	2	45.49297398422425	50.1397824573088	Eubacterium yurii subsp. margaretiae ATCC 43715,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEES01000064	3	1	40.32966578120869	47.54089304316307	Eubacterium yurii subsp. margaretiae ATCC 43715,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AEIG01000056	4	3	43.34007338770766	56.45832334381106	gamma proteobacterium IMCC3088,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENN01000018	4	7	42.534305978510815	49.342618974509605	Eremococcus coleocola ACS.139.V.Col8,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AENO01000010	1	1	45.981008507696686	49.64003051476544	Porphyromonas asaccharolytica PR426713P.I,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENO01000056	2	1	49.16186703000972	51.01711679016495	Porphyromonas asaccharolytica PR426713P.I,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AENP01000008	1	2	43.98439560170266	41.9171323750125	Peptoniphilus harei ACS.146.V.Sch2b,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEQN01000030	2	4	55.55906452111992	54.69679185293302	Pseudoramibacter alactolyticus ATCC 23263,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEVP01000019	7	5	48.51269601455067	45.226551419240934	Desulfotomaculum nigrificans DSM 574,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AEXM01000008	1	4	46.444403110308656	47.329821569972694	Anaerococcus prevotii ACS.065.V.Col13,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEXN01000015	3	3	42.684888776341666	44.45507553425648	Anaerococcus hydrogenalis ACS.025.V.Sch4,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AEYS01000003	3	5	38.18238098600125	51.42856871046007	Thermoanaerobacter ethanolicus JW 200,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AFCR01001234	5	4	52.164525739748626	45.8241404412168	Salmonella enterica subsp. enterica serovar Mississippi str. A4.633,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFCT01001810	5	4	52.164525739748626	45.8241404412168	Salmonella enterica subsp. enterica serovar Rubislaw str. A4.653,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFCX01001549	5	4	52.164525739748626	45.8241404412168	Salmonella enterica subsp. enterica serovar Wandsworth str. A4.580,definition=4.hydroxybutyrate.acetyl.CoA CoA transferase	4.hydroxybutyrate.acetyl.CoA CoA transferase	unknown
AFGF01000026	1	4	46.53036127665342	54.241922764498895	Acetonema longum DSM 6540,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AFHP02000048	3	2	39.51836423554619	43.40768567787643	Capnocytophaga sp. oral taxon 329 str. F0087,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFIJ01000023	2	4	50.078791441748706	54.69679185293302	Megasphaera sp. UPII 199.6,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AFMF02000037	2	4	45.72841672555484	42.56205384698069	Leptospira interrogans serovar Zanoni str. LT2156,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFNU01000006	2	6	40.46671261408795	49.180264467548625	Haloplasma contractile SSD.17B,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AFOZ01000017	3	3	46.15338113099659	44.77117009364332	Shewanella sp. HN.41,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFPO01000020	3	4	43.98439560170266	46.5612293724804	Idiomarina sp. A28L,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AFQD01000458	2	3	41.117635274873635	42.61524588430865	Fusobacterium nucleatum subsp. animalis ATCC 51191,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AFUG01000018	5	3	37.97689307814045	45.226551419240934	Megasphaera sp. UPII 135.E,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFUG01000030	3	1	46.48415882682292	48.95218447560774	Megasphaera sp. UPII 135.E,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFUG01000038	1	1	38.99287118641081	39.79087392694544	Megasphaera sp. UPII 135.E,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AFXZ01000012	3	2	38.115829883261824	48.94853477655505	Bizionia argentinensis JUB59,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AFZG01000052	1	3	40.212151353428055	45.226551419240934	Eubacteriaceae bacterium CM5,definition=hypothetical protein	hypothetical protein	unknown
AFZX01000008	5	3	51.47917704985866	50.06946082464401	Desulfitobacterium hafniense DP7,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AFZX01000118	0	3	46.248700425842856	51.02928727756955	Desulfitobacterium hafniense DP7,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AFZX01000137	0	3	45.86941202210011	45.2878743906669	Desulfitobacterium hafniense DP7,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AGAF01000174	1	2	50.078791441748706	48.679758699947286	Desulfosporosinus sp. OT,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGBB01000193	3	3	41.600501971088306	44.69128987642466	Peptoniphilus indolicus ATCC 29427,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGBB01000208	1	2	41.0122983309156	44.727919388827104	Peptoniphilus indolicus ATCC 29427,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AGCJ01000073	0	1	48.69028851014281	51.49258153451183	Anaeroglobus geminatus F0357,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGCK01000019	4	6	45.773065697167	50.0993174674328	Flavonifractor plautii ATCC 29863,definition=putative 4.hydroxybutyrate coenzyme A transferase	putative 4.hydroxybutyrate coenzyme A transferase	unknown
AGCK01000028	5	4	46.7684542445063	54.384103904035726	Flavonifractor plautii ATCC 29863,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGCK01000251	2	3	55.55906452111992	56.3133312987614	Flavonifractor plautii ATCC 29863,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AGEC02000012	4	4	37.36371694256809	44.023817224047264	Myroides odoratimimus CCUG 10230,definition=hypothetical protein	hypothetical protein	unknown
AGED01000025	4	3	37.36371694256809	46.156545394846944	Myroides odoratimimus CCUG 12901,definition=hypothetical protein	hypothetical protein	unknown
AGEE01000005	3	1	38.18238098600119	48.95218447560774	Myroides odoratimimus CIP 101113,definition=hypothetical protein	hypothetical protein	unknown
AGEH01000006	2	3	41.117635274873635	42.61524588430865	Fusobacterium nucleatum subsp. animalis OT 420,definition=hypothetical protein	hypothetical protein	unknown
AGEL01000006	1	3	56.697086027106195	56.88827587688104	Lachnospiraceae bacterium ACC2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AGEL01000013	5	2	55.824220292013536	50.39602252829138	Lachnospiraceae bacterium ACC2,definition=hypothetical protein	hypothetical protein	unknown
AGEX01000003	3	4	49.62441982689825	51.524217487153635	Shewanella baltica OS625,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGFM01000017	4	5	53.17796662990355	53.55031500106685	Novosphingobium pentaromativorans US6.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGFP01000006	2	4	46.95657362811363	45.852091036011586	Mycoplasma iowae 695,definition=putative coenzyme A transferase	putative coenzyme A transferase	unknown
AGFR01000007	3	3	36.85670144371147	45.1591274667515	Commensalibacter intestini A911,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGJA01000009	1	3	47.661913509116175	49.56331852589142	Desulfosporosinus meridiei DSM 13257,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000001	2	1	45.66092206708595	45.462494771449826	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000003	0	2	46.74039542220163	49.21409784484706	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000013	0	3	41.746671956554565	45.03387912321216	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJB01000015	2	5	41.84119163227689	50.96081976900018	Desulfitobacterium metallireducens DSM 15288,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJD01000010	1	1	45.997622120021674	46.11861872201109	Bacillus sp. 1NLA3E,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AGJE01000004	5	2	48.64903987483075	48.94853477655511	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJE01000010	1	2	44.364778242242096	47.42993043957074	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJE01000033	1	4	47.661913509116175	50.31619323748714	Desulfitobacterium dichloroeliminans LMG P.21439,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000002	1	3	49.11076219358665	52.141437835244915	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000006	2	2	44.293906585783134	46.811983277870524	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000012	5	0	50.71632133253513	45.49278619137533	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJG01000018	0	2	45.31213016888671	49.44058809118866	Desulfosporosinus acidiphilus SJ4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000008	5	5	54.6134568565152	57.585723079829165	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000008.28	2	4	53.410365468809346	57.52456947099881	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJM01000034	6	3	54.83772149362841	56.45832334381106	Geobacter metallireducens RCH3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000002	3	4	45.49297398422425	47.10053338580104	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000006	0	3	45.60571803019002	52.60966308056254	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
AGJQ01000017	2	4	41.60140685364979	48.040022837782715	Desulfotomaculum gibsoniae DSM 7213,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
